State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2010
1,METRO11500M11500,"Anniston-Oxford, AL MSA",528,551,725,936,975,AL,118572
1,METRO12220M12220,"Auburn-Opelika, AL MSA",573,577,781,1075,1320,AL,140247
1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",572,684,811,1065,1198,AL,1017381
1,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",399,449,566,758,1002,AL,43643
1,METRO13820N01127,"Walker County, AL HUD Metro FMR Area",475,485,588,812,987,AL,67023
1,METRO17980M17980,"Columbus, GA-AL MSA",550,644,764,1053,1353,AL,52947
1,METRO19460M19460,"Decatur, AL MSA",445,537,637,883,910,AL,153829
1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",431,461,594,792,979,AL,128337
1,METRO20020N01067,"Henry County, AL HUD Metro FMR Area",411,440,566,834,933,AL,17302
1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",516,519,663,885,889,AL,147137
1,METRO23460M23460,"Gadsden, AL MSA",380,491,639,796,897,AL,104430
1,METRO26620M26620,"Huntsville, AL MSA",535,598,738,1015,1073,AL,417593
1,METRO33660M33660,"Mobile, AL MSA",672,702,832,1115,1282,AL,412992
1,METRO33860M33860,"Montgomery, AL MSA",606,640,761,1046,1244,AL,374536
1,METRO46220M46220,"Tuscaloosa, AL MSA",516,656,868,1090,1237,AL,219461
1,NCNTY01003N01003,"Baldwin County, AL",592,770,913,1345,1580,AL,182265
1,NCNTY01005N01005,"Barbour County, AL",457,460,623,776,833,AL,27457
1,NCNTY01011N01011,"Bullock County, AL",454,477,566,748,1002,AL,10914
1,NCNTY01013N01013,"Butler County, AL",428,431,566,822,844,AL,20947
1,NCNTY01017N01017,"Chambers County, AL",511,514,696,867,1034,AL,34215
1,NCNTY01019N01019,"Cherokee County, AL",465,483,579,853,864,AL,25989
1,NCNTY01023N01023,"Choctaw County, AL",520,524,709,883,1058,AL,13859
1,NCNTY01025N01025,"Clarke County, AL",436,438,566,790,842,AL,25833
1,NCNTY01027N01027,"Clay County, AL",421,424,566,759,762,AL,13932
1,NCNTY01029N01029,"Cleburne County, AL",478,481,651,811,870,AL,14972
1,NCNTY01031N01031,"Coffee County, AL",489,492,631,855,884,AL,49948
1,NCNTY01035N01035,"Conecuh County, AL",433,436,566,834,837,AL,13228
1,NCNTY01037N01037,"Coosa County, AL",454,477,566,705,756,AL,11539
1,NCNTY01039N01039,"Covington County, AL",448,451,583,843,936,AL,37765
1,NCNTY01041N01041,"Crenshaw County, AL",441,444,601,847,897,AL,13906
1,NCNTY01043N01043,"Cullman County, AL",497,506,619,780,827,AL,80406
1,NCNTY01045N01045,"Dale County, AL",408,480,612,892,1071,AL,50251
1,NCNTY01047N01047,"Dallas County, AL",383,443,600,768,978,AL,43820
1,NCNTY01049N01049,"DeKalb County, AL",366,475,615,769,981,AL,71109
1,NCNTY01053N01053,"Escambia County, AL",483,504,598,745,869,AL,38319
