State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
1,METRO11500M11500,"Anniston-Oxford, AL MSA",487,504,619,838,979,AL,112249
1,METRO12220M12220,"Auburn-Opelika, AL MSA",454,542,698,949,974,AL,115092
1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",649,746,832,1060,1137,AL,941932
1,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",420,580,644,802,905,AL,39593
1,METRO13820N01127,"Walker County, AL HUD Metro FMR Area",522,524,627,810,1005,AL,70713
1,METRO17980M17980,"Columbus, GA-AL MSA",598,633,721,950,1125,AL,49756
1,METRO19460M19460,"Decatur, AL MSA",487,555,625,853,878,AL,145867
1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",459,534,593,753,864,AL,114551
1,METRO20020N01067,"Henry County, AL HUD Metro FMR Area",381,528,586,700,813,AL,16310
1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",519,521,639,843,980,AL,142950
1,METRO23460M23460,"Gadsden, AL MSA",476,544,633,827,855,AL,103459
1,METRO26620M26620,"Huntsville, AL MSA",561,599,718,985,1162,AL,342376
1,METRO33660M33660,"Mobile, AL MSA",615,652,744,979,1181,AL,399843
1,METRO33860M33860,"Montgomery, AL MSA",604,693,788,1058,1381,AL,346528
1,METRO46220M46220,"Tuscaloosa, AL MSA",543,609,761,998,1029,AL,192034
1,NCNTY01003N01003,"Baldwin County, AL",546,735,818,1113,1420,AL,140415
1,NCNTY01005N01005,"Barbour County, AL",472,473,567,780,922,AL,29038
1,NCNTY01011N01011,"Bullock County, AL",413,508,605,725,747,AL,11714
1,NCNTY01013N01013,"Butler County, AL",413,508,605,725,747,AL,21399
1,NCNTY01017N01017,"Chambers County, AL",441,514,571,757,781,AL,36583
1,NCNTY01019N01019,"Cherokee County, AL",508,528,613,729,753,AL,23988
1,NCNTY01023N01023,"Choctaw County, AL",444,455,536,675,872,AL,15922
1,NCNTY01025N01025,"Clarke County, AL",371,502,572,686,1007,AL,27867
1,NCNTY01027N01027,"Clay County, AL",479,480,575,713,946,AL,14254
1,NCNTY01029N01029,"Cleburne County, AL",477,479,575,713,946,AL,14123
1,NCNTY01031N01031,"Coffee County, AL",440,549,622,907,1090,AL,43615
1,NCNTY01035N01035,"Conecuh County, AL",444,455,536,675,872,AL,14089
1,NCNTY01037N01037,"Coosa County, AL",435,510,567,765,876,AL,12202
1,NCNTY01039N01039,"Covington County, AL",448,453,560,714,962,AL,37631
