state,cbsasub19,areaname19,rent50_0,rent50_1,rent50_2,rent50_3,rent50_4,state_alpha,pop2010,hu2010,cntyname,name
48,METRO10180M10180,"Abilene, TX MSA",642,667,882,1142,1467,TX,165252,69721,Callahan County,Callahan County
72,METRO10380M10380,"Aguadilla-Isabela, PR HUD Metro FMR Area",388,398,456,606,732,PR,306292,138855,Aguada Municipio,Aguada Municipio
72,METRO10380N72141,"Utuado Municipio, PR HUD Metro FMR Area",379,389,445,558,602,PR,33149,14192,Utuado Municipio,Utuado Municipio
39,METRO10420M10420,"Akron, OH MSA",564,667,868,1092,1173,OH,703200,312581,Portage County,Portage County
13,METRO10500M10500,"Albany, GA MSA",591,604,727,958,1037,GA,157308,66060,Baker County,Baker County
41,METRO10540M10540,"Albany, OR MSA",678,798,1056,1525,1746,OR,116672,48821,Linn County,Linn County
36,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",821,966,1192,1493,1611,NY,870716,393297,Albany County,Albany County
35,METRO10740M10740,"Albuquerque, NM MSA",605,763,941,1361,1618,NM,887077,374404,Bernalillo County,Bernalillo County
22,METRO10780M10780,"Alexandria, LA MSA",527,658,821,1077,1257,LA,153922,64570,Grant Parish,Grant Parish
42,METRO10900M10900,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",778,936,1192,1546,1611,PA,712481,297275,Carbon County,Carbon County
34,METRO10900MM5640,"Warren County, NJ HUD Metro FMR Area",992,1130,1371,1718,1927,NJ,108692,44925,Warren County,Warren County
42,METRO11020M11020,"Altoona, PA MSA",644,684,854,1070,1154,PA,127089,56276,Blair County,Blair County
48,METRO11100M11100,"Amarillo, TX HUD Metro FMR Area",594,702,912,1233,1389,TX,249881,102546,Armstrong County,Armstrong County
48,METRO11100N48359,"Oldham County, TX HUD Metro FMR Area",635,752,976,1223,1487,TX,2052,841,Oldham County,Oldham County
19,METRO11180M11180,"Ames, IA MSA",707,803,969,1318,1615,IA,89542,36789,Story County,Story County
2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",989,1067,1394,2016,2449,AK,291826,113032,Anchorage Municipality,Anchorage Municipality
2,METRO11260N02170,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",803,852,1127,1630,1980,AK,88995,41329,Matanuska-Susitna Borough,Matanuska-Susitna Borough
26,METRO11460M11460,"Ann Arbor, MI MSA",972,1004,1232,1620,1992,MI,344791,147573,Washtenaw County,Washtenaw County
1,METRO11500M11500,"Anniston-Oxford-Jacksonville, AL MSA",485,545,718,941,1095,AL,118572,53289,Calhoun County,Calhoun County
55,METRO11540M11540,"Appleton, WI MSA",607,642,830,1183,1188,WI,225666,92844,Calumet County,Calumet County
72,METRO11640MM0470,"Arecibo, PR HUD Metro FMR Area",381,383,468,622,742,PR,173552,75049,Arecibo Municipio,Arecibo Municipio
72,METRO11640N72923,"Quebradillas Municipio, PR HUD Metro FMR Area",404,408,474,661,756,PR,25919,10754,Quebradillas Municipio,Quebradillas Municipio
37,METRO11700M11700,"Asheville, NC HUD Metro FMR Area",870,875,1088,1485,1911,NC,365822,178683,Buncombe County,Buncombe County
37,METRO11700N37087,"Haywood County, NC HUD Metro FMR Area",653,785,899,1156,1493,NC,59036,34954,Haywood County,Haywood County
13,METRO12020M12020,"Athens-Clarke County, GA MSA",666,714,840,1137,1394,GA,192541,81719,Clarke County,Clarke County
13,METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1005,1031,1180,1522,1870,GA,5176116,2126420,Barrow County,Barrow County
13,METRO12060N13035,"Butts County, GA HUD Metro FMR Area",698,703,930,1191,1582,GA,23655,9357,Butts County,Butts County
13,METRO12060N13143,"Haralson County, GA HUD Metro FMR Area",722,726,868,1088,1312,GA,28780,12287,Haralson County,Haralson County
13,METRO12060N13171,"Lamar County, GA HUD Metro FMR Area",633,637,776,1122,1230,GA,18317,7474,Lamar County,Lamar County
13,METRO12060N13199,"Meriwether County, GA HUD Metro FMR Area",625,629,832,1203,1343,GA,21992,9957,Meriwether County,Meriwether County
13,METRO12060N13211,"Morgan County, GA HUD Metro FMR Area",800,821,940,1324,1445,GA,17868,7472,Morgan County,Morgan County
34,METRO12100M12100,"Atlantic City-Hammonton, NJ MSA",917,1072,1367,1799,2044,NJ,274549,126647,Atlantic County,Atlantic County
1,METRO12220M12220,"Auburn-Opelika, AL MSA",588,674,875,1164,1381,AL,140247,62391,Lee County,Lee County
13,METRO12260M12260,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",742,748,897,1225,1576,GA,556877,236949,Burke County,Burke County
13,METRO12260N13181,"Lincoln County, GA HUD Metro FMR Area",593,625,715,1003,1006,GA,7996,4786,Lincoln County,Lincoln County
48,METRO12420M12420,"Austin-Round Rock, TX MSA",1004,1170,1417,1869,2262,TX,1716289,706505,Bastrop County,Bastrop County
6,METRO12540M12540,"Bakersfield, CA MSA",750,762,992,1429,1700,CA,839631,284367,Kern County,Kern County
24,METRO12580M12580,"Baltimore-Columbia-Towson, MD MSA",931,1159,1449,1870,2151,MD,2710489,1132251,Anne Arundel County,Anne Arundel County
23,METRO12620MM0730,"Bangor, ME HUD Metro FMR Area",719,818,1038,1301,1823,ME,93971,41407,Penobscot County,Bangor city
23,METRO12620N23019,"Penobscot County, ME (part) HUD Metro FMR Area",702,706,934,1170,1263,ME,59952,32453,Penobscot County,Alton town
25,METRO12700M12700,"Barnstable Town, MA MSA",1051,1237,1636,2073,2255,MA,215888,160281,Barnstable County,Barnstable Town city
22,METRO12940M12940,"Baton Rouge, LA HUD Metro FMR Area",775,914,1057,1357,1688,LA,769097,317022,Ascension Parish,Ascension Parish
22,METRO12940N22047,"Iberville Parish, LA HUD Metro FMR Area",590,698,799,1001,1253,LA,33387,12707,Iberville Parish,Iberville Parish
26,METRO12980M12980,"Battle Creek, MI MSA",513,633,798,1039,1097,MI,136146,61042,Calhoun County,Calhoun County
26,METRO13020M13020,"Bay City, MI MSA",535,630,833,1104,1159,MI,107771,48220,Bay County,Bay County
48,METRO13140M13140,"Beaumont-Port Arthur, TX HUD Metro FMR Area",684,788,973,1255,1385,TX,388745,162334,Hardin County,Hardin County
48,METRO13140N48351,"Newton County, TX HUD Metro FMR Area",494,568,700,987,991,TX,14445,7142,Newton County,Newton County
54,METRO13220N54019,"Fayette County, WV HUD Metro FMR Area",541,544,679,927,1010,WV,46039,21618,Fayette County,Fayette County
54,METRO13220N54081,"Raleigh County, WV HUD Metro FMR Area",677,694,795,996,1254,WV,78859,35931,Raleigh County,Raleigh County
53,METRO13380M13380,"Bellingham, WA MSA",782,849,1107,1601,1944,WA,201140,90665,Whatcom County,Whatcom County
41,METRO13460M13460,"Bend-Redmond, OR MSA",790,942,1141,1641,2004,OR,157733,80139,Deschutes County,Deschutes County
30,METRO13740M13740,"Billings, MT HUD Metro FMR Area",619,729,964,1352,1657,MT,158050,70384,Carbon County,Carbon County
30,METRO13740N30037,"Golden Valley County, MT HUD Metro FMR Area",471,554,733,1060,1260,MT,884,476,Golden Valley County,Golden Valley County
36,METRO13780M13780,"Binghamton, NY MSA",639,672,871,1140,1297,NY,251725,112766,Broome County,Broome County
1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",763,824,943,1247,1385,AL,1017381,449931,Bibb County,Bibb County
1,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",563,597,683,988,1200,AL,43643,19278,Chilton County,Chilton County
1,METRO13820N01127,"Walker County, AL HUD Metro FMR Area",526,529,700,877,1053,AL,67023,30816,Walker County,Walker County
38,METRO13900M13900,"Bismarck, ND HUD Metro FMR Area",707,712,927,1264,1583,ND,108779,47833,Burleigh County,Burleigh County
38,METRO13900N38065,"Oliver County, ND HUD Metro FMR Area",734,738,964,1284,1608,ND,1846,905,Oliver County,Oliver County
38,METRO13900N38085,"Sioux County, ND HUD Metro FMR Area",542,546,700,877,1127,ND,4153,1311,Sioux County,Sioux County
51,METRO13980M13980,"Blacksburg-Christiansburg-Radford, VA HUD Metro FMR Area",734,805,922,1333,1619,VA,110800,44996,Montgomery County,Montgomery County
51,METRO13980N51063,"Floyd County, VA HUD Metro FMR Area",596,611,700,1001,1230,VA,15279,7790,Floyd County,Floyd County
51,METRO13980N51071,"Giles County, VA HUD Metro FMR Area",526,529,700,877,1134,VA,17286,8319,Giles County,Giles County
51,METRO13980N51155,"Pulaski County, VA HUD Metro FMR Area",596,611,700,943,1230,VA,34872,17235,Pulaski County,Pulaski County
17,METRO14010M14060,"Bloomington, IL  HUD Metro FMR Area",628,695,908,1272,1577,IL,169572,69656,McLean County,McLean County
17,METRO14010N17039,"De Witt County, IL HUD Metro FMR Area",563,567,697,939,942,IL,16561,7521,De Witt County,De Witt County
18,METRO14020MM1020,"Bloomington, IN HUD Metro FMR Area",736,777,998,1311,1753,IN,137974,59107,Monroe County,Monroe County
18,METRO14020N18119,"Owen County, IN HUD Metro FMR Area",585,630,769,1033,1351,IN,21575,10091,Owen County,Owen County
42,METRO14100N42037,"Columbia County, PA HUD Metro FMR Area",698,702,874,1095,1375,PA,67295,29498,Columbia County,Columbia County
42,METRO14100N42093,"Montour County, PA HUD Metro FMR Area",735,740,964,1208,1303,PA,18267,7965,Montour County,Montour County
16,METRO14260M14260,"Boise City, ID HUD Metro FMR Area",587,721,914,1317,1515,ID,599842,238953,Ada County,Ada County
16,METRO14260N16045,"Gem County, ID HUD Metro FMR Area",535,629,832,1110,1145,ID,16719,7099,Gem County,Gem County
25,METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",1700,1904,2320,2907,3136,MA,3320390,1395948,Essex County,Amesbury Town city
25,METRO14460MM1200,"Brockton, MA HUD Metro FMR Area",1098,1215,1577,1981,2304,MA,246362,93569,Norfolk County,Avon town
25,METRO14460MM4160,"Lawrence, MA-NH HUD Metro FMR Area",977,1123,1441,1805,1948,MA,417794,162230,Essex County,Andover town
25,METRO14460MM4560,"Lowell, MA HUD Metro FMR Area",1099,1264,1623,2033,2194,MA,297547,113435,Middlesex County,Billerica town
33,METRO14460MM4760,"Western Rockingham County, NH HUD Metro FMR Area",1195,1245,1621,2205,2213,NH,46297,17937,Rockingham County,Auburn town
33,METRO14460MM6450,"Portsmouth-Rochester, NH HUD Metro FMR Area",970,977,1239,1702,2090,NH,224012,100087,Rockingham County,Brentwood town
8,METRO14500M14500,"Boulder, CO MSA",1233,1354,1653,2318,2600,CO,294567,127071,Boulder County,Boulder County
21,METRO14540M14540,"Bowling Green, KY HUD Metro FMR Area",633,646,820,1089,1436,KY,125953,53690,Edmonson County,Edmonson County
21,METRO14540N21003,"Allen County, KY HUD Metro FMR Area",516,519,687,926,1207,KY,19956,9307,Allen County,Allen County
21,METRO14540N21031,"Butler County, KY HUD Metro FMR Area",481,484,640,877,965,KY,12690,5877,Butler County,Butler County
53,METRO14740M14740,"Bremerton-Silverdale, WA MSA",827,993,1287,1826,2111,WA,251133,107367,Kitsap County,Kitsap County
9,METRO14860MM1160,"Bridgeport, CT HUD Metro FMR Area",923,1110,1391,1754,2182,CT,357563,138687,Fairfield County,Bridgeport town
9,METRO14860MM1930,"Danbury, CT HUD Metro FMR Area",1090,1342,1696,2125,2677,CT,194747,75742,Fairfield County,Bethel town
9,METRO14860MM8040,"Stamford-Norwalk, CT HUD Metro FMR Area",1325,1660,2063,2631,3012,CT,364519,146792,Fairfield County,Darien town
48,METRO15180M15180,"Brownsville-Harlingen, TX MSA",600,603,770,1034,1183,TX,406220,141924,Cameron County,Cameron County
13,METRO15260M15260,"Brunswick, GA MSA",702,706,879,1235,1266,GA,112370,58022,Brantley County,Brantley County
36,METRO15380M15380,"Buffalo-Cheektowaga-Niagara Falls, NY MSA",713,738,890,1115,1279,NY,1135509,519094,Erie County,Erie County
37,METRO15500M15500,"Burlington, NC MSA",602,684,871,1149,1328,NC,151131,66576,Alamance County,Alamance County
50,METRO15540M15540,"Burlington-South Burlington, VT MSA",1055,1279,1642,2136,2220,VT,211261,92358,Chittenden County,Bolton town
24,METRO15680M15680,"California-Lexington Park, MD MSA",928,1170,1407,1934,2428,MD,105151,41282,St. Mary's County,St. Mary's County
39,METRO15940M15940,"Canton-Massillon, OH MSA",538,623,824,1052,1114,OH,404422,178913,Carroll County,Carroll County
12,METRO15980M15980,"Cape Coral-Fort Myers, FL MSA",829,895,1110,1443,1653,FL,618754,371099,Lee County,Lee County
17,METRO16020M16020,"Cape Girardeau, MO-IL MSA",591,593,785,1131,1242,IL,96275,42500,Alexander County,Alexander County
17,METRO16060N17077,"Jackson County, IL HUD Metro FMR Area",491,603,764,989,1033,IL,60218,28578,Jackson County,Jackson County
17,METRO16060N17199,"Williamson County, IL HUD Metro FMR Area",563,567,750,1027,1307,IL,66357,30359,Williamson County,Williamson County
32,METRO16180M16180,"Carson City, NV MSA",590,709,901,1303,1583,NV,55274,23534,Carson City,Carson City
56,METRO16220M16220,"Casper, WY MSA",629,746,900,1251,1581,WY,75450,33807,Natrona County,Natrona County
19,METRO16300M16300,"Cedar Rapids, IA HUD Metro FMR Area",549,646,854,1214,1332,IA,211226,92251,Linn County,Linn County
19,METRO16300N19011,"Benton County, IA HUD Metro FMR Area",546,549,714,910,1010,IA,26076,11095,Benton County,Benton County
19,METRO16300N19105,"Jones County, IA HUD Metro FMR Area",472,555,734,999,1122,IA,20638,8911,Jones County,Jones County
42,METRO16540M16540,"Chambersburg-Waynesboro, PA MSA",636,748,990,1270,1338,PA,149618,63219,Franklin County,Franklin County
17,METRO16580M16580,"Champaign-Urbana, IL MSA",727,747,897,1147,1427,IL,231891,101120,Champaign County,Champaign County
54,METRO16620M16620,"Charleston, WV HUD Metro FMR Area",554,705,863,1081,1245,WV,202449,97190,Clay County,Clay County
54,METRO16620N54005,"Boone County, WV HUD Metro FMR Area",435,528,677,850,915,WV,24629,11070,Boone County,Boone County
45,METRO16700M16700,"Charleston-North Charleston, SC MSA",883,1043,1207,1597,2092,SC,664607,298542,Berkeley County,Berkeley County
37,METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",940,963,1104,1491,1911,NC,1731090,726199,Cabarrus County,Cabarrus County
