State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2010
2,NCNTY02195N02195,"Petersburg Census Area, AK",722,744,1006,1253,1782,AK,3815
2,NCNTY02198N02198,"Prince of Wales-Hyder Census Area, AK",703,707,957,1192,1279,AK,5559
2,NCNTY02220N02220,"Sitka City and Borough, AK",916,972,1315,1832,1899,AK,8881
2,NCNTY02230N02230,"Skagway Municipality, AK",860,1010,1197,1491,1728,AK,968
2,NCNTY02240N02240,"Southeast Fairbanks Census Area, AK",768,907,1202,1497,2067,AK,7029
2,NCNTY02261N02261,"Valdez-Cordova Census Area, AK",722,764,955,1344,1453,AK,9636
2,NCNTY02270N02270,"Wade Hampton Census Area, AK",704,827,980,1221,1415,AK,7459
2,NCNTY02275N02275,"Wrangell City and Borough, AK",603,655,840,1238,1242,AK,2369
2,NCNTY02282N02282,"Yakutat City and Borough, AK",691,751,962,1418,1704,AK,662
2,NCNTY02290N02290,"Yukon-Koyukuk Census Area, AK",683,701,845,1052,1311,AK,5588
4,METRO22380M22380,"Flagstaff, AZ MSA",789,917,1148,1457,1857,AZ,134421
4,METRO29420M29420,"Lake Havasu City-Kingman, AZ MSA",521,643,821,1113,1288,AZ,200186
4,METRO38060M38060,"Phoenix-Mesa-Glendale, AZ MSA",593,748,925,1363,1592,AZ,4192887
4,METRO39140M39140,"Prescott, AZ MSA",610,692,875,1289,1363,AZ,211033
4,METRO46060M46060,"Tucson, AZ MSA",521,651,876,1286,1531,AZ,980263
4,METRO49740M49740,"Yuma, AZ MSA",598,639,844,1244,1424,AZ,195751
4,NCNTY04001N04001,"Apache County, AZ",391,478,647,810,973,AZ,71518
4,NCNTY04003N04003,"Cochise County, AZ",597,617,772,1115,1367,AZ,131346
4,NCNTY04007N04007,"Gila County, AZ",587,611,823,1188,1394,AZ,53597
4,NCNTY04009N04009,"Graham County, AZ",404,570,679,1001,1004,AZ,37220
